ID,Source,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
1,Proxy,Sun Apr 28 13:13:07 IST 2024,GET,http://localhost:8000/course,200,OK,354,1840,Medium,FALSE,JSON
3,Proxy,Sun Apr 28 13:14:38 IST 2024,GET,http://localhost:8000/booking,404,Not Found,15,146,Medium,FALSE,
4,Proxy,Sun Apr 28 13:14:49 IST 2024,POST,http://localhost:8000/booking,401,Unauthorized,326,52,Medium,FALSE,JSON
5,Proxy,Sun Apr 28 13:15:38 IST 2024,POST,http://localhost:8000/booking,201,Created,629,205,Medium,FALSE,JSON
6,Proxy,Sun Apr 28 13:15:47 IST 2024,POST,http://localhost:8000/booking,401,Unauthorized,299,52,Medium,FALSE,JSON
7,Proxy,Sun Apr 28 13:16:01 IST 2024,GET,http://localhost:8000/timetable,403,Forbidden,12,27,Medium,FALSE,JSON
8,Proxy,Sun Apr 28 13:16:17 IST 2024,POST,http://localhost:8000/user/login,201,Created,861,371,Medium,FALSE,JSON
10,Proxy,Sun Apr 28 13:16:34 IST 2024,GET,http://localhost:8000/timetable,500,Internal Server Error,417,35,Medium,FALSE,JSON
11,Proxy,Sun Apr 28 13:16:48 IST 2024,POST,http://localhost:8000/timetable,400,Bad Request,350,36,Medium,FALSE,JSON
12,Proxy,Sun Apr 28 13:21:43 IST 2024,POST,http://localhost:8000/faculty,201,Created,649,173,Medium,FALSE,JSON
